# Created: 2026-03-16T19:09:44.960646+00:00
# Model run: 2026-03-16T12:00:00+00:00
# DMI Created: 2026-03-16T15:24:07.858416+00:00
tid,dkssGammel,dkssNy,totalWaterMet
2026-03-16 20:00,0.494,0.530,0.200
2026-03-16 21:00,0.480,0.521,0.170
2026-03-16 22:00,0.498,0.543,0.170
2026-03-16 23:00,0.525,0.572,0.210
2026-03-17 00:00,0.547,0.594,0.260
2026-03-17 01:00,0.560,0.607,0.310
2026-03-17 02:00,0.558,0.603,0.320
2026-03-17 03:00,0.541,0.585,0.300
2026-03-17 04:00,0.494,0.535,0.240
2026-03-17 05:00,0.427,0.464,0.130
2026-03-17 06:00,0.357,0.394,-0.010
2026-03-17 07:00,0.292,0.331,-0.130
2026-03-17 08:00,0.229,0.268,-0.220
2026-03-17 09:00,0.171,0.211,-0.270
2026-03-17 10:00,0.132,0.173,-0.280
2026-03-17 11:00,0.113,0.152,-0.250
2026-03-17 12:00,0.120,0.160,-0.200
2026-03-17 13:00,0.149,0.188,-0.140
2026-03-17 14:00,0.192,0.227,-0.110
2026-03-17 15:00,0.230,0.263,-0.080
2026-03-17 16:00,0.239,0.272,-0.080
2026-03-17 17:00,0.223,0.254,-0.120
2026-03-17 18:00,0.188,0.220,-0.190
2026-03-17 19:00,0.146,0.181,-0.260
2026-03-17 20:00,0.098,0.131,-0.310
2026-03-17 21:00,0.051,0.086,-0.350
2026-03-17 22:00,0.041,0.078,-0.330
2026-03-17 23:00,0.064,0.101,-0.290
2026-03-18 00:00,0.105,0.144,-0.210
2026-03-18 01:00,0.151,0.189,-0.110
2026-03-18 02:00,0.203,0.240,-0.040
2026-03-18 03:00,0.267,0.304,0.020
2026-03-18 04:00,0.326,0.361,0.070
2026-03-18 05:00,0.349,0.384,0.060
2026-03-18 06:00,0.343,0.374,0.010
2026-03-18 07:00,0.311,0.346,-0.080
2026-03-18 08:00,0.262,0.301,-0.140
2026-03-18 09:00,0.200,0.241,-0.200
2026-03-18 10:00,0.144,0.185,-0.220
2026-03-18 11:00,0.127,0.170,-0.190
2026-03-18 12:00,0.144,0.191,-0.110
2026-03-18 13:00,0.187,0.234,-0.030
2026-03-18 14:00,0.243,0.286,0.020
2026-03-18 15:00,0.304,0.347,0.060
2026-03-18 16:00,0.361,0.406,0.090
2026-03-18 17:00,0.385,0.430,0.070
2026-03-18 18:00,0.369,0.412,0.030
2026-03-18 19:00,0.329,0.368,-0.030
2026-03-18 20:00,0.273,0.312,-0.070
2026-03-18 21:00,0.210,0.247,-0.110
2026-03-18 22:00,0.156,0.190,-0.150
2026-03-18 23:00,0.135,0.164,-0.140
2026-03-19 00:00,0.157,0.184,-0.090
2026-03-19 01:00,0.193,0.221,-0.040
2026-03-19 02:00,0.243,0.270,-0.000
2026-03-19 03:00,0.290,0.318,0.040
2026-03-19 04:00,0.332,0.358,0.060
2026-03-19 05:00,0.345,0.371,0.060
2026-03-19 06:00,0.323,0.347,0.010
2026-03-19 07:00,0.273,0.296,-0.080
2026-03-19 08:00,0.213,0.237,-0.160
2026-03-19 09:00,0.144,0.170,-0.240
2026-03-19 10:00,0.077,0.103,-0.290
2026-03-19 11:00,0.030,0.055,-0.300
2026-03-19 12:00,0.022,0.049,-0.260
2026-03-19 13:00,0.041,0.068,-0.200
2026-03-19 14:00,0.082,0.109,-0.160
2026-03-19 15:00,0.131,0.162,-0.130
2026-03-19 16:00,0.180,0.207,-0.100
2026-03-19 17:00,0.207,0.233,-0.100
2026-03-19 18:00,0.194,0.220,-0.150
2026-03-19 19:00,0.161,0.180,-0.220
2026-03-19 20:00,0.113,0.133,-0.290
